SETTLEMENT_DATE,EMBEDDED_SOLAR_GENERATION
2022-12-25,254.20833
2023-01-01,248.32143
2023-01-08,316.80356
2023-01-15,372.23215
2023-01-22,812.994
2023-01-29,502.70535
2023-02-05,688.4613
2023-02-12,930.0804
2023-02-19,896.8869
2023-02-26,869.4435
2023-03-05,728.9673
2023-03-12,888.7351
2023-03-19,1104.3036
2023-03-26,1284.482
2023-04-02,1135.1608
2023-04-09,2204.5535
2023-04-16,1669.0178
2023-04-23,1928.5834
2023-04-30,1717.5803
2023-05-07,1997.1935
2023-05-14,1870.5565
2023-05-21,2672.3154
2023-05-28,2915.0654
2023-06-04,2852.4019
2023-06-11,2660.3245
2023-06-18,2855.6667
2023-06-25,2561.7173
2023-07-02,1916.387
2023-07-09,2191.238
2023-07-16,1929.4733
2023-07-23,1985.7322
2023-07-30,1839.4048
2023-08-06,1565.2887
2023-08-13,2108.4346
2023-08-20,1956.1815
2023-08-27,1933.1488
2023-09-03,1892.7709
2023-09-10,2341.3333
2023-09-17,1508.4286
2023-09-24,1333.0
2023-10-01,1324.5803
2023-10-08,1311.8483
2023-10-15,1247.2858
2023-10-22,931.7976
2023-10-29,827.929
2023-11-05,725.6667
2023-11-12,816.1637
2023-11-19,519.3869
2023-11-26,550.8185
2023-12-03,547.0149
2023-12-10,286.2232
2023-12-17,307.6518
2023-12-24,210.21428
2023-12-31,239.25298
2024-01-07,404.7232
2024-01-14,531.5506
2024-01-21,848.5089
2024-01-28,721.5744
2024-02-04,561.3958
2024-02-11,518.6488
2024-02-18,790.003
2024-02-25,953.4196
2024-03-03,1039.7291
2024-03-10,1283.1399
2024-03-17,937.4405
2024-03-24,1678.887
2024-03-31,1776.8683
2024-04-07,1715.3423
2024-04-14,1940.1339
2024-04-21,2614.2827
2024-04-28,1899.0387
2024-05-05,2227.851
2024-05-12,3156.765
2024-05-19,2457.7053
2024-05-26,2248.0952
2024-06-02,2489.4731
2024-06-09,2733.3394
2024-06-16,2621.5
2024-06-23,3299.3154
2024-06-30,3059.0864
2024-07-07,2484.747
2024-07-14,2105.3481
2024-07-21,2705.3154
2024-07-28,2631.765
2024-08-04,3110.601
2024-08-11,2387.7559
2024-08-18,2665.4316
2024-08-25,2159.8691
2024-09-01,2327.9255
2024-09-08,1314.3423
2024-09-15,2172.0774
2024-09-22,2047.8065
2024-09-29,1304.2084
2024-10-06,1313.6428
2024-10-13,1382.6399
2024-10-20,1061.3214
2024-10-27,1158.0592
2024-11-03,473.83035
2024-11-10,246.08333
2024-11-17,791.4048
2024-11-24,590.1577
2024-12-01,707.881
2024-12-08,365.5149
2024-12-15,269.30655
2024-12-22,388.6131
2024-12-29,243.4256
2025-01-05,462.7262
2025-01-12,690.8899
2025-01-19,550.2639
