SETTLEMENT_DATE,EMBEDDED_SOLAR_GENERATION
2022-12-25,254.20833
2023-01-01,248.32143
2023-01-08,316.80356
2023-01-15,372.23215
2023-01-22,812.994
2023-01-29,502.70535
2023-02-05,688.4613
2023-02-12,930.0804
2023-02-19,896.8869
2023-02-26,869.4435
2023-03-05,728.9673
2023-03-12,888.7351
2023-03-19,1104.3036
2023-03-26,1284.482
2023-04-02,1135.1608
2023-04-09,2204.5535
2023-04-16,1669.0178
2023-04-23,1928.5834
2023-04-30,1717.5803
2023-05-07,1997.1935
2023-05-14,1870.5565
2023-05-21,2672.3154
2023-05-28,2915.0654
2023-06-04,2852.4019
2023-06-11,2660.3245
2023-06-18,2855.6667
2023-06-25,2561.7173
2023-07-02,1916.387
2023-07-09,2191.238
2023-07-16,1929.4733
2023-07-23,1985.7322
2023-07-30,1839.4048
2023-08-06,1565.2887
2023-08-13,2108.4346
2023-08-20,1956.1815
